code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,21.79,100.0,100.0,84.9,53.1,68.8,91.6,45.1,48.8,"Q1价值线=55.72, 现价/价值=0.39, akshare东方财富扣非净利润同比=37.0%, 市值=752.5亿",-0.0468066491688539,0.0371251784864348,752.5131476183614,55.71935131218841,0.3910670079038324,2.38,2.38,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.6,价值线左侧确认,0.3704062523219499,21.79,45.44,1.0853602569986234,1.1702382759718835,20.9377931,45.44,2025-05-06,2026-05-18
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,80.0,0.0,81.8,91.2,34.4,35.5,"Q1价值线=15.23, 现价/价值=0.43, akshare东方财富扣非净利润同比=57.8%, 市值=1113.3亿",-0.1300268096514745,-0.1721938775510203,1113.3095697707738,15.22629322330738,0.4262363731486234,0.698,0.698,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.2,价值线左侧确认,0.57824440783802,6.49,10.52,0.6209553158705701,0.6724086400916292,6.29032866,10.52,2025-05-06,2026-05-18
sh.600757,长江传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.76,100.0,100.0,83.0,66.8,48.6,88.9,73.0,79.7,"Q1价值线=20.82, 现价/价值=0.47, akshare东方财富扣非净利润同比=54.5%, 市值=118.9亿",0.0966292134831459,0.100338218714769,118.85730837065368,20.820679049769616,0.4687647303274672,0.82,0.82,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.9,价值线左侧确认,0.5445817036291001,9.76,8.32,-0.14754098360655732,-0.11071201082277171,9.35579936,8.32,2025-05-06,2026-05-18
sh.601677,明泰铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,12.12,100.0,100.0,80.4,31.4,52.3,88.4,43.1,53.9,"Q1价值线=31.38, 现价/价值=0.39, akshare东方财富扣非净利润同比=41.7%, 市值=144.8亿",-0.053125,0.0066445182724252,144.82764665092563,31.38121663830424,0.3862182954757147,1.21,1.21,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.4,价值线左侧确认,0.4172846952144,12.12,16.95,0.39851485148514865,0.4220974942319977,11.91901404,16.95,2025-05-06,2026-05-18
sh.600482,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,21.63,100.0,100.0,76.5,27.6,62.7,88.0,58.5,70.2,"Q1价值线=56.79, 现价/价值=0.38, akshare东方财富扣非净利润同比=600.4%, 市值=476.1亿",-0.0132299270072994,-0.1210889882161723,476.0921345273249,56.79080600433402,0.3808715093487015,0.56,0.56,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.0,价值线左侧确认,6.00411576914536,21.63,35.98,0.6634304207119741,0.684759475674007,21.3561642,35.98,2025-05-06,2026-05-18
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,74.8,88.2,67.0,87.9,79.6,83.8,"Q1价值线=34.22, 现价/价值=0.45, akshare东方财富扣非净利润同比=6.9%, 市值=273.4亿",-0.0096649484536083,0.210236220472441,273.3831762517656,34.22439389727171,0.4490948779439235,2.026,2.026,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.9,价值线左侧确认,0.06861366118276,15.37,18.1,0.1776187378009111,0.2565971236173874,14.40398013,18.1,2025-05-06,2026-05-18
sh.601137,博威合金,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,18.1,96.2,96.2,83.6,46.4,56.3,87.8,41.4,46.1,"Q1价值线=31.41, 现价/价值=0.58, akshare东方财富扣非净利润同比=21.9%, 市值=141.1亿",-0.1008445106805761,-0.0722706304459251,141.07236421255297,31.409445358645232,0.5762597776983064,1.7,1.7,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.8,价值线左侧确认,0.2194777504671899,18.1,19.85,0.09668508287292821,0.12882731174763018,17.5846206,19.85,2025-05-06,2026-05-18
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.2,31.8,75.9,87.5,59.6,70.9,"Q1价值线=20.68, 现价/价值=0.34, akshare东方财富扣非净利润同比=320.2%, 市值=2043.1亿",0.0173160173160173,-0.0381991814461118,2043.102287142857,20.6812539219362,0.3408884213022597,0.35,0.35,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.5,价值线左侧确认,3.2019862195352,7.05,5.88,-0.16595744680851066,-0.12941189952684873,6.7540551,5.88,2025-05-06,2026-05-18
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,17.61,91.8,91.8,89.2,84.6,50.6,86.8,82.0,84.1,"Q1价值线=29.01, 现价/价值=0.61, akshare东方财富扣非净利润同比=81.4%, 市值=154.8亿",0.1075471698113206,0.0475907198096372,154.82995907432522,29.00561281000656,0.6071238734154507,1.07,1.07,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,86.8,价值线左侧确认,0.81445737250594,17.61,12.3,-0.30153321976149905,-0.27496654386167874,16.96473438,12.3,2025-05-06,2026-05-18
sh.600487,亨通光电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,15.77,91.8,91.8,78.9,32.9,72.1,85.3,62.4,71.2,"Q1价值线=25.95, 现价/价值=0.61, akshare东方财富扣非净利润同比=32.7%, 市值=383.3亿",-0.0442424242424243,0.0307189542483659,383.2812395011499,25.950513278907096,0.6076951091683437,1.06,1.06,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,85.3,价值线左侧确认,0.32672339933916,15.77,71.8,3.5529486366518706,3.6223908138483143,15.53308729,71.8,2025-05-06,2026-05-18
