code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,total_score,selection_bucket,valuation_state,selection_mode,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return,source_file
sz.300274,阳光电源,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,62.19,98.3,98.3,100.0,25.0,94.1,98.5,72.8,81.9,98.5,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=110.63, 现价/价值=0.56, 扣非同比=76.5%, 市值=1290.1亿",-0.1418518007451359,-0.1216101694915253,1290.091804511278,110.62902201522292,0.5621490533599985,,,,,0.7646,62.19,142.65,1.2937771345875544,1.3591540105272863,q1_backtest_2025-05-06_2026-05-13_192552.csv
sz.000651,格力电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,45.47,100.0,100.0,86.2,60.2,90.9,94.3,78.5,84.7,94.3,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=94.44, 现价/价值=0.48, 扣非同比=26.3%, 市值=2510.2亿",0.0066415762674341,0.0374172940908053,2510.2091766723847,94.4446425974833,0.4814460487059078,,,,,0.2634,45.47,40.3,-0.1137013415438751,-0.030849647017778,q1_backtest_2025-05-06_2026-05-13_194614.csv
sz.000960,锡业股份,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,14.11,100.0,100.0,91.2,28.2,67.7,93.7,36.5,47.2,93.7,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=30.13, 现价/价值=0.47, 扣非同比=62.4%, 市值=239.0亿",-0.118125,-0.0362021857923497,238.9730236922355,30.13447578767313,0.4682344600722029,,,,,0.6243,14.11,40.36,1.860382707299788,1.9266748186162643,q1_backtest_2025-05-06_2026-05-13_194614.csv
sz.000719,中原传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,12.49,100.0,100.0,93.1,86.9,50.1,92.6,84.8,88.2,92.6,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=35.85, 现价/价值=0.35, 扣非同比=244.2%, 市值=127.4亿",0.0813852813852813,0.1141837644959855,127.37326732673267,35.85456310679612,0.3483517554738398,,,,,2.4422,12.49,14.27,0.1425140112089671,0.1975309794676707,q1_backtest_2025-05-06_2026-05-13_194614.csv
sz.300677,英科医疗,C29橡胶和塑料制品业,医药医疗,VALUE,基本价值线,22.55,100.0,100.0,92.5,25.0,52.1,92.6,63.2,74.3,92.6,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=55.06, 现价/价值=0.41, 扣非同比=53.2%, 市值=146.2亿",-0.0874140024281667,-0.1635756676557863,146.17588495575225,55.06399265529011,0.4095235182302673,,,,,0.5322,22.55,50.07,1.2203991130820395,1.2330156515130888,q1_backtest_2025-05-06_2026-05-13_195357.csv
sh.601899,紫金矿业,B09有色金属矿采选业,资源金属,PB,PB低估,17.76,96.4,96.4,92.4,82.6,100.0,0.0,0.0,0.0,92.3,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=24.43, 现价/价值=0.73, 扣非同比=58.8%, 市值=4704.3亿",0.0148571428571429,0.0783242258652097,4704.345123966943,24.42539054257277,0.7271122223837042,,,,,0.5876,17.76,34.66,0.9515765765765762,0.9953240565156828,q1_backtest_2025-05-06_2026-05-13_190706.csv
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,21.79,100.0,100.0,85.0,53.1,68.8,91.6,45.1,48.8,91.6,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=55.90, 现价/价值=0.39, 扣非同比=37.1%, 市值=754.7亿",-0.0468066491688539,0.0371251784864348,754.7362189054727,55.896951157713296,0.3898244814555179,,,,,0.3707999999999999,21.79,50.06,1.2973841211564938,1.3908919035024758,q1_backtest_2025-05-06_2026-05-13_190706.csv
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,79.9,0.0,81.8,91.2,34.4,35.5,91.2,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=15.22, 现价/价值=0.43, 扣非同比=57.8%, 市值=1114.1亿",-0.1300268096514745,-0.1721938775510203,1114.0867036011082,15.220276421171532,0.4264048707402156,,,,,0.5778,6.49,11.87,0.8289676425269643,0.8870238172896994,q1_backtest_2025-05-06_2026-05-13_190706.csv
sh.603993,洛阳钼业,B09有色金属矿采选业,资源金属,VALUE,基本价值线,7.1,100.0,100.0,77.8,30.0,87.6,91.0,48.1,56.3,91.0,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=14.90, 现价/价值=0.48, 扣非同比=87.8%, 市值=1525.0亿",-0.0571049136786189,-0.0166204986149585,1525.0349206349204,14.901524278746676,0.4764613248408679,,,,,0.8782,7.1,20.99,1.956338028169014,2.0498935116385257,q1_backtest_2025-05-06_2026-05-13_191545.csv
sh.600489,中金黄金,B09有色金属矿采选业,资源金属,PB,PB低估,14.07,91.2,91.2,80.8,55.4,86.2,0.0,0.0,0.0,89.9,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=18.37, 现价/价值=0.77, 扣非同比=71.1%, 市值=680.6亿",0.0345588235294118,0.0195652173913043,680.5860000000001,18.36562350856468,0.7661052179055373,,,,,0.7112999999999999,14.07,26.82,0.906183368869936,0.957559518431162,q1_backtest_2025-05-06_2026-05-13_190706.csv
sz.300724,捷佳伟创,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,56.71,100.0,100.0,79.9,26.2,63.6,89.3,59.6,71.3,89.3,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=119.06, 现价/价值=0.48, 扣非同比=15.5%, 市值=197.4亿",-0.0838449111470113,-0.0769856770833332,197.4136523929471,119.06016930535456,0.4763137859694741,,,,,0.1549,56.71,92.75,0.6355140186915889,0.6728897208344726,q1_backtest_2025-05-06_2026-05-13_195357.csv
sh.600757,长江传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.76,100.0,100.0,83.1,66.8,48.6,89.0,73.1,79.8,89.0,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=20.91, 现价/价值=0.47, 扣非同比=54.5%, 市值=118.1亿",0.0966292134831459,0.100338218714769,118.12102564102562,20.90982216101695,0.4667662845165643,,,,,0.5446,9.76,8.65,-0.1137295081967212,-0.0754397708674249,q1_backtest_2025-05-06_2026-05-13_190706.csv
