code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,segment_file,segment_order,end_quote_time,end_quote_trade_date,buy_trade_date,end_trade_date,portfolio_score,final_selected,final_rank,portfolio_profile
sz.300274,阳光电源,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,62.19,98.3,98.3,100.0,25.0,94.1,98.5,72.8,81.9,"Q1价值线=110.72, 现价/价值=0.56, akshare东方财富扣非净利润同比=76.5%, 市值=1288.7亿",-0.1418518007451359,-0.1216101694915253,1288.7228232782284,110.72386551478456,0.5616675294965744,5.16,5.16,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,98.5,价值线左侧确认,0.76459518845191,62.19,152.25,60.46659072,152.25,1.4481427882296192,1.5179193698056737,q1_backtest_2025-05-06_2026-05-18_181316.csv,5,,,2025-05-06,2026-05-18,122.126,True,1,balanced
sh.603799,华友钴业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,34.46,100.0,100.0,92.5,61.7,81.7,95.5,59.0,68.9,"Q1价值线=70.99, 现价/价值=0.49, akshare东方财富扣非净利润同比=116.1%, 市值=573.6亿",0.015022091310751,0.1618341200269724,573.5915519770684,70.99335334816661,0.4853975530779731,2.28,2.28,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,95.5,价值线左侧确认,1.16054575066279,34.46,58.31,33.96146718,58.31,0.692106790481718,0.7169458460363256,q1_backtest_2025-05-06_2026-05-18_173956.csv,1,,,2025-05-06,2026-05-18,121.984,True,2,balanced
sz.000651,格力电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,45.47,100.0,100.0,86.2,60.2,90.9,94.3,78.5,84.7,"Q1价值线=94.42, 现价/价值=0.48, akshare东方财富扣非净利润同比=26.3%, 市值=2511.3亿",0.0066415762674341,0.0374172940908053,2511.258907549643,94.41598725220425,0.4815921680566704,5.45,5.45,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,94.3,价值线左侧确认,0.26336529887472,45.47,39.71,41.58281517,39.71,-0.126676929843853,-0.0450382005726045,q1_backtest_2025-05-06_2026-05-18_174148.csv,3,,,2025-05-06,2026-05-18,119.96,True,3,balanced
sz.300502,新易盛,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,93.63,98.1,98.1,92.5,26.5,100.0,96.3,70.8,80.1,"Q1价值线=166.18, 现价/价值=0.56, akshare东方财富扣非净利润同比=383.1%, 市值=664.0亿",-0.0592786094644831,-0.0866256950541412,664.0395025072548,166.1824486954555,0.5634168995282138,3.1500000000000004,3.99,1.2666666666666666,年报扣非EPS送转可比口径(原始3.99/月度加权1.2667),,,,,价值线左侧确认,基本价值线左侧,96.3,价值线左侧确认,3.83096593910192,93.63,599.92,66.60894378,599.92,5.407348072199081,8.006598302796267,q1_backtest_2025-05-06_2026-05-18_181316.csv,5,,,2025-05-06,2026-05-18,119.904,True,4,balanced
sz.000960,锡业股份,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,14.11,100.0,100.0,91.4,28.2,67.7,93.8,36.5,47.2,"Q1价值线=30.27, 现价/价值=0.47, akshare东方财富扣非净利润同比=62.4%, 市值=237.2亿",-0.118125,-0.0362021857923497,237.2331863720147,30.265338523772627,0.4662098852427164,1.1555,1.1555,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,93.8,价值线左侧确认,0.6243195653914,14.11,37.7,13.79039439,37.7,1.6718639262934092,1.7337869341385823,q1_backtest_2025-05-06_2026-05-18_174148.csv,3,,,2025-05-06,2026-05-18,117.094,True,5,balanced
sz.300763,锦浪科技,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,54.18,100.0,100.0,85.0,32.7,72.2,92.0,65.5,75.8,"Q1价值线=202.34, 现价/价值=0.27, akshare东方财富扣非净利润同比=1024.4%, 市值=214.4亿",-0.0983524712930604,0.0536756126021003,214.4234889069652,202.3428735768796,0.2677633219408366,1.61,1.61,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,92.0,价值线左侧确认,10.2438324601519,54.18,104.11,53.97232806,104.11,0.9215577703949798,0.9289514412693652,q1_backtest_2025-05-06_2026-05-18_175835.csv,6,,,2025-05-06,2026-05-18,116.909,True,6,balanced
sz.000719,中原传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,12.49,100.0,100.0,93.0,86.9,50.1,92.6,84.8,88.2,"Q1价值线=53.33, 现价/价值=0.23, akshare东方财富扣非净利润同比=244.2%, 市值=128.0亿",0.0813852813852813,0.1141837644959855,127.96314877207132,53.33317741602082,0.2341881846373569,1.22,1.22,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,92.6,价值线左侧确认,2.44221560691187,12.49,13.85,11.91618442,13.85,0.1088871096877501,0.1622847978715655,q1_backtest_2025-05-06_2026-05-18_174148.csv,3,,,2025-05-06,2026-05-18,116.578,True,7,balanced
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,21.79,100.0,100.0,84.9,53.1,68.8,91.6,45.1,48.8,"Q1价值线=55.72, 现价/价值=0.39, akshare东方财富扣非净利润同比=37.0%, 市值=752.5亿",-0.0468066491688539,0.0371251784864348,752.5131476183614,55.71935131218841,0.3910670079038324,2.38,2.38,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.6,价值线左侧确认,0.3704062523219499,21.79,45.44,20.9377931,45.44,1.0853602569986234,1.1702382759718837,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18,116.056,True,8,balanced
sh.603993,洛阳钼业,B09有色金属矿采选业,资源金属,VALUE,基本价值线,7.1,100.0,100.0,77.8,30.0,87.6,91.0,48.1,56.3,"Q1价值线=14.88, 现价/价值=0.48, akshare东方财富扣非净利润同比=87.8%, 市值=1526.9亿",-0.0571049136786189,-0.0166204986149585,1526.9453146409674,14.88371468071948,0.4770314503003349,0.61,0.61,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.0,价值线左侧确认,0.8781700653068001,7.1,18.31,6.8822075,18.31,1.5788732394366196,1.6604835730396097,q1_backtest_2025-05-06_2026-05-18_173240.csv,2,,,2025-05-06,2026-05-18,115.888,True,9,balanced
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,80.0,0.0,81.8,91.2,34.4,35.5,"Q1价值线=15.23, 现价/价值=0.43, akshare东方财富扣非净利润同比=57.8%, 市值=1113.3亿",-0.1300268096514745,-0.1721938775510203,1113.3095697707738,15.22629322330738,0.4262363731486234,0.698,0.698,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.2,价值线左侧确认,0.57824440783802,6.49,10.52,6.29032866,10.52,0.6209553158705701,0.6724086400916292,q1_backtest_2025-05-06_2026-05-18_173956.csv,1,,,2025-05-06,2026-05-18,115.585,True,10,balanced
